device_sn,sensor_model,sensor,port,site,site_code,basin,location,depth_height_m
z6-19484,ATMOS41,ATM-410008161,1,Old Main,om,,T,2.1
z6-19484,TEROS12,T12-00125020,2,Old Main,om,y,OMBAE15,-0.15
z6-19484,TEROS21,T21G20018890,3,Old Main,om,y,OMBAE15,-0.15
z6-19484,TEROS12,T12-00125824,4,Old Main,om,y,OMBAE50,-0.5
z6-19484,TEROS12,T12-00118462,5,Old Main,om,n,OMHGW50,-0.5
z6-19484,TEROS12,T12-00118460,6,Old Main,om,n,OMHGW15,-0.15
z6-19485,TEROS21,T21G20018873,1,Old Main,om,y,OMBAW15,-0.15
z6-19485,TEROS12,T12-00123508,2,Old Main,om,y,OMBAW50,-0.5
z6-19485,TEROS12,T12-00127382,3,Old Main,om,y,OMBAW15,-0.15
z6-19485,TEROS12,T12-00120851,4,Old Main,om,n,OMHGE50,-0.5
z6-19485,TEROS12,T12-00120852,5,Old Main,om,n,OMHGE15,-0.15
z6-19485,,,6,Old Main,om,,,
z6-20761,ATMOS41,ATM-410008162,1,Gould Simpson,gs,,T,2.1
z6-20761,TEROS12,T12-00119137,2,Gould Simpson,gs,y,GSBAE15,-0.15
z6-20761,TEROS12,T12-00118459,3,Gould Simpson,gs,y,GSBAE50,-0.5
z6-20761,TEROS12,T12-00118455,4,Gould Simpson,gs,y,GSBAS15,-0.15
z6-20761,TEROS12,T12-00118456,5,Gould Simpson,gs,y,GSBAS50,-0.5
z6-20761,,,6,Gould Simpson,gs,,,
z6-20764,TEROS21,T21G20018882,1,Gould Simpson,gs,y,GSBAW15,-0.15
z6-20764,TEROS12,T12-00120850,2,Gould Simpson,gs,y,GSBAW15,-0.15
z6-20764,TEROS12,T12-00120853,3,Gould Simpson,gs,y,GSBAW50,-0.5
z6-20764,TEROS21,T21G20018879,4,Gould Simpson,gs,y,GSBAS15,-0.15
z6-20764,TEROS12,T12-00119265,5,Gould Simpson,gs,n,GSHGE15,-0.15
z6-20764,TEROS12,T12-00119587,6,Gould Simpson,gs,n,GSHGE50,-0.5
z6-20762,ATMOS41,ATM-410007711,1,Physics and Atmospheric Sciences ,pas,,T,2.1
z6-20762,TEROS12,T12-00119858,2,Physics and Atmospheric Sciences ,pas,y,PASBAW15,-0.15
z6-20762,TEROS12,T12-00119853,3,Physics and Atmospheric Sciences ,pas,y,PASBAW50,-0.5
z6-20762,TEROS12,T12-00120849,4,Physics and Atmospheric Sciences ,pas,n,PASHGW50,-0.5
z6-20762,TEROS12,T12-00120860,5,Physics and Atmospheric Sciences ,pas,n,PASHGW15,-0.15
z6-20762, ,,6,Physics and Atmospheric Sciences ,pas,,,
z6-20763,TEROS12,T12-00120783,1,Physics and Atmospheric Sciences ,pas,y,PASBAE15,-0.15
z6-20763,TEROS12,T12-00120784,2,Physics and Atmospheric Sciences ,pas,y,PASBAE50,-0.5
z6-20763,TEROS12,T12-00125019,3,Physics and Atmospheric Sciences ,pas,n,PASHGE15,-0.15
z6-20763,TEROS12,T12-00125022,4,Physics and Atmospheric Sciences ,pas,n,PASHGE50,-0.5
z6-20763,,,5,Physics and Atmospheric Sciences ,pas,,,
z6-20763,,,6,Physics and Atmospheric Sciences ,pas,,,
